Docket No,ATM ID,Model,Alias ATM ID,ATM Type,Call Date with Time,Sub Call Type,Completion Date,ATM Down,Diagnosis,Action Taken,Issue Categories
180423/13,AMKATM39,DN 100D,PNPEGN-C001,ATM,4/18/2023 10:19,Camera Issue,4/18/2023 11:31,No,Camera unable to capture,"User : Srey Khuoch Date  : Apr 18 2023  3:46PM
Action :   ;

User : Sounin Date  : Apr 18 2023 11:45AM
Action : camera,not,unnable,capture,power,off,atm,and,out,put,usb,about5m,in,put,camera,is,unnable,capture,change,the,1new,camera,now,camera,casg,slot,is,working,normal;

User : Sounin Date  : Apr 18 2023 11:29AM
Action : fix camera unable;

User : Khen Raksmey Date  : Apr 18 2023 10:23AM
Action : Assigned. ;

User : Srey Khuoch Date  : Apr 18 2023 10:21AM
Action : Camera unable to capture;

",Camera
200423/18,AMKATM05,DN 100D,BMCPOP-A001,ATM,4/20/2023 15:21,Card Reader Error,4/20/2023 16:20,Yes,error card reader,"User : Srey Khuoch Date  : Apr 20 2023  5:00PM
Action :  ;

User : Sovanarath Date  : Apr 20 2023  4:21PM
Action : Print counter and shutdown power ATM, Check crad reader have ants,Remove card reader and cleaned,Put back to possiton,Test crad many times still Jam, Replace new crad reader S/N 00G9120170 ,Old crad reader S/N 00G0120381 ,Bank preform transaction many times is ok,Now ATM working normal.;

User : Sovanarath Date  : Apr 20 2023  3:33PM
Action : Error card reader;

User : Chean Sovanarath Date  : Apr 20 2023  3:29PM
Action : error card reader;

User : Srey Khuoch Date  : Apr 20 2023  3:26PM
Action : error card reader;

",Card reader
210423/19,AMKATM57,DN 200V,PNPPSM-C001,CRM,4/21/2023 11:43,Connection Error,4/21/2023 16:30,Yes,Device not connected,"User : Srey Khuoch Date  : Apr 21 2023  4:52PM
Action :  ;

User : Sounin Date  : Apr 21 2023  4:41PM
Action : Check CRM RM4 error. Check all devices. BVM board is no power in. Changed new BVM board. still RM4 not connect. shutdown machine and replace CHT board and power on. check and test all device again.ok . customer return cash and test transaction ok. bvm board old sn 036026 new sn 020943. CHT controller board old sn 59m0280047. new 59L0189870;

User : Sounin Date  : Apr 21 2023  3:17PM
Action : CRM error RM4 not connect (PNPPSM);

User : Khen Raksmey Date  : Apr 21 2023 11:48AM
Action : Assigned ;

User : Srey Khuoch Date  : Apr 21 2023 11:46AM
Action : Device not connected;

",Other
260423/26,AMKATM51,DN 100D,KCHMDT-A001,ATM,4/26/2023 13:04,Cash Rejected and Torn,4/26/2023 15:10,No,got torn note 100$ in rejected,"User : Srey Khuoch Date  : Apr 26 2023  4:43PM
Action :  ;

User : Srey Khuoch Date  : Apr 26 2023  4:43PM
Action :  ;

User : Sopheap Date  : Apr 26 2023  3:33PM
Action : To checked ATM got turn note USD100 in reject box then checked status in SOP and checked dispenser in picker 4 found Feel wheel stripper and take way are spoil and change one set new already checked cassette comfirm then bank test transaction many time working normal and Now ATM keep monitoring;

User : Sopheap Date  : Apr 26 2023  3:07PM
Action : issue;

User : Than Rothana Date  : Apr 26 2023  2:13PM
Action : ATM got torn note 100$ at Kompong cham province ;

User : Srey Khuoch Date  : Apr 26 2023  1:08PM
Action : got torn note 100$ in rejected;

",Dispenser
260423/27,AMKATM66,DN 200V,PSTPST-A001,CRM,4/26/2023 14:55,HDD issue,4/27/2023 12:00,Yes,CRM fail to detect HDD,"User : Srey Khuoch Date  : Apr 27 2023  1:59PM
Action :   ;

User : Vannak Date  : Apr 27 2023 12:28PM
Action : Open machine HDD not available. shutdown machine removed out PC and HDD, check are ok. Put back PC and HDD to machine. Power on CRM still error HDD not available. shutdown machine change new HDD power on machine reinstall image and tested all devices status Ok .config IP.Pc name and apply regedit . bank load cash and do transaction successfully. now CRM working normal.;

User : Vannak Date  : Apr 27 2023 11:22AM
Action : CRM fail to detect HDD;

User : Than Rothana Date  : Apr 26 2023  2:58PM
Action : CRM fail to Detect HDD;

User : Srey Khuoch Date  : Apr 26 2023  2:57PM
Action : CRM fail to detect HDD;

",Other
270423/28,AMKATM65,DN 100D,PUKPUK-A001,ATM,4/27/2023 13:37,Cash Rejected and Torn,4/27/2023 15:05,No,ATM torn note 50K,"User : Srey Khuoch Date  : Apr 27 2023  4:59PM
Action :  ;

User : Bunseang Date  : Apr 27 2023  3:30PM
Action : power off machine check feed wheel, picker belt, take away stripper wheel slot 4(KHR 50K) check side cassettes 50K adjust side  power on machine and check devices is ok  bank load cash and test transaction is working;

User : Bunseang Date  : Apr 27 2023  2:24PM
Action : ATM torn note 50K;

User : Chean Sovanarath Date  : Apr 27 2023  1:59PM
Action : ATM torn note 50K;

User : Srey Khuoch Date  : Apr 27 2023  1:40PM
Action : ATM torn note 50K;

",Dispenser
020523/1,AMKDC01,DC365,PPT Chbar Obpov,DC365,4/27/2023 14:00,Cash stack,4/27/2023 15:30,Yes,can not deposit,"User : Seth Date  : May  2 2023  6:54AM
Action :  ;

User : BTI_Botin Date  : May  2 2023  6:54AM
Action : check and clean all sensor then do CIS correction;

User : Seth Date  : May  2 2023  6:51AM
Action : can not deposit;

",Dispenser
270423/29,AMKATM15,DN 100D,BMCBMC-A001,ATM,4/27/2023 14:58,Error Cassette,4/27/2023 16:13,No,error cassette slot 4 (20k),"User : Srey Khuoch Date  : Apr 27 2023  5:02PM
Action :  ;

User : Sokheng Date  : Apr 27 2023  4:32PM
Action : Print counter, checked all devices are ok,power off machine,checked picker slot4 (20k) found feed wheel,stripper  wheel, take away spoiled,Replace New feed wheel, stripper wheel, take away,Adjust size c assette (20k),Power on ATM checked and tested devices ok,Bank do many transactions successfully,Now ATM working as normal;

User : Sokheng Date  : Apr 27 2023  3:25PM
Action : Error cassette slot 4 (20k);

User : Than Rothana Date  : Apr 27 2023  3:03PM
Action : error cassette slot 4 (20K);

User : Srey Khuoch Date  : Apr 27 2023  3:01PM
Action : error cassette slot 4 (20k);

",Dispenser
090523/8,AMKATM06,DN 100D,BTBPSN-A001,ATM,5/9/2023 8:15,LCD screen issue,5/9/2023 10:16,No,ATM error touch screen,"User : Srey Khuoch Date  : May  9 2023  4:58PM
Action :   ;

User : Sokheng Date  : May  9 2023 10:34AM
Action : Print counter, checked all devices show status touch screen not connected, power off machine, try to tested unplug USB from board to screen but still error,replace new board touch screen,power on machine and  tested touch screen is working as normal;

User : Sokheng Date  : May  9 2023 10:14AM
Action : ATM error touch screen;

User : Than Rothana Date  : May  9 2023  8:20AM
Action : ATM got error touch screen ;

User : Srey Khuoch Date  : May  9 2023  8:17AM
Action : ATM error touch screen;",Other
090523/11,AMKDC01,DC365,PTT Chbar Obpov,DC365,5/9/2023 10:40,Cash stack,5/9/2023 11:20,No,Replace POS sensor,"User : Srey Khuoch Date  : May  9 2023  5:05PM
Action :  ;

User : Sopheaparinha Date  : May  9 2023 11:23AM
Action : Replace POS08 sensor;

User : Sopheaparinha Date  : May  9 2023 10:48AM
Action : accept;

User : Soy Chanpiseth Date  : May  9 2023 10:45AM
Action : Assigned task;

User : Parinha Date  : May  9 2023 10:43AM
Action : Replace POS8 sensor;",Dispenser
090523/13,AMKATM10,DN 100D,PNPCCV-A001,ATM,5/9/2023 14:29,Receipt jam,5/9/2023 15:00,No,error receipt printer,"User : Srey Khuoch Date  : May  9 2023  5:07PM
Action :  ;

User : Srey Khuoch Date  : May  9 2023  5:07PM
Action :  ;

User : Channa Date  : May  9 2023  3:35PM
Action : to checked receipt printer error;

User : Channa Date  : May  9 2023  3:13PM
Action : Receipt Error;

User : Than Rothana Date  : May  9 2023  2:49PM
Action : ATM error receipt printer;

User : Srey Khuoch Date  : May  9 2023  2:33PM
Action : error receipt printer;",Recipt printer
110523/19,AMKATM55,DN 100D,TAKTAK-A001,ATM,5/11/2023 8:41,Cash Rejected and Torn,5/11/2023 11:30,No,got many reject notes on 50K denomination,"User : Srey Khuoch Date  : May 11 2023  4:42PM
Action :  ;

User : Raksmey Date  : May 11 2023 11:47AM
Action : To check ATM frequently high reject and pick failure.  Checked all ATM devices, transport path, belts, feed wheels, stripper wheel, takeaway wheel. Shutdown ATM. Removed and replaced feed , stripper wheel, takeaways wheel for slot 4 for 50K. clean all path, transport path, Readjust the note stacking tray teeth from 4 to 3 position, adjust the cassettes side guide from 5,5 to 5,6. Test,reset test for all ATM devices status are in normal operation. Branch perform transactions and dispensed in good conditions of bank notes.;

User : Raksmey  Date  : May 11 2023 11:19AM
Action : To check ATM frequently cash reject and pick failure;

User : Sopheak Sovatdy Date  : May 11 2023  8:51AM
Action : Fix ATM error(Go many reject notes on 50K denomination);

User : Srey Khuoch Date  : May 11 2023  8:46AM
Action : got many reject notes on 50K denomination;",Dispenser
110523/20,AMKATM53,DN 100D,ASNTAN1-A001,ATM,5/11/2023 12:42,Cash Rejected and Torn,5/11/2023 14:40,No,cash shortage and note 50k always reject a lot of note,"User : Srey Khuoch Date  : May 11 2023  5:07PM
Action :  ;

User : Jack Date  : May 11 2023  4:59PM
Action : check all devices ATM status are ok, shutdown ATM and removed out presenter, adjust size stacker finger 4 to 3, clean hardware (feed wheel, take away wheel, stripper wheel and sensor shutter), Put back device presenter and power on ATM, tested all devices are ok, bank load cash and tested transactions many times successfully.;

User : Jack Date  : May 11 2023  4:31PM
Action : To check ATM error cash shortage and note 50k always reject a lot of note, check all devices are ok, shutdown ATM and removed out presenter, adjust size stacker finger 4 to 3, clean hardware (feed wheel, take away wheel, stripper wheel and shutter pr;

User : Chean Sovanarath Date  : May 11 2023  4:20PM
Action : cash shortage and note 50k always reject a lot of note;

User : Srey Khuoch Date  : May 11 2023 12:45PM
Action : cash shortage and note 50k always reject a lot of note;",Dispenser
180523/35,AMKATM65,DN 100D,PUKPUK-A001,ATM,5/18/2023 9:59,Card Jammed,5/18/2023 10:22,No,Card Jam,"User : Srey Khuoch Date  : May 18 2023  4:33PM
Action :   ;

User : Sounin Date  : May 18 2023 10:24AM
Action : own ATM removed card reader. replace new card reader for monitoring. power on atm  tested card reader is working back.test card reader and do transactions so many times is ok.now atm is working normal;

User : Sounin Date  : May 18 2023 10:08AM
Action : checked ATM card jam;

User : Sopheak Sovatdy Date  : May 18 2023 10:06AM
Action : Issue card jammed;

User : Srey Khuoch Date  : May 18 2023 10:05AM
Action : Card Jam;",Card reader
230523/36,AMKATM24,DN 100D,KPSKPS-A001,ATM,5/23/2023 8:15,Camera Issue,5/23/2023 10:20,No,Camera portrait error,"User : Srey Khuoch Date  : May 23 2023  5:37PM
Action :  ;

User : Sokheng Date  : May 23 2023 10:32AM
Action : Printed counter and checked all devices found portrait camera not connected,power off ATM and try to tested unplug USB from camera and cleaned,power on machine tested many transaction and checked portrait camera is captured as normal,now ATM is working as normal;

User : Sokheng Date  : May 23 2023 10:16AM
Action : Camera portrait error ( Kong pisei);

User : Than Rothana Date  : May 23 2023  8:28AM
Action : Camera portrait error;

User : Srey Khuoch Date  : May 23 2023  8:19AM
Action : Camera portrait error;",Camera
240523/37,AMKATM53,DN 100D,ASNTAN1-A001,ATM,5/24/2023 12:53,Cash Jam,5/24/2023 16:20,No,Cash jammed on Staker,"User : Srey Khuoch Date  : May 24 2023  5:08PM
Action :  ;

User : Sovatdy Date  : May 24 2023  4:21PM
Action : Print counter and open safe door. Check the dispenser saw the notes jammed in presenter and stacker. Removed notes out and check in cassette. Cassette was put maximum notes .2300 notes. Checked other part in AFD. Timing belt and presenter belt is not in the good condition. Replaced presenter belt and Timing belt. Adjust shutter in camp to make it more smooth. Checked and configured cassette of KHR both set. Check and test all devices again. All okay. Customer load cash and tested transaction. Okay. Now machine is working normal.;

User : Sovatdy Date  : May 24 2023  4:05PM
Action : Tainan1 Cash jammed on stacker;

User : Than Rothana Date  : May 24 2023 12:58PM
Action : Cash jammed on stacker;

User : Srey Khuoch Date  : May 24 2023 12:57PM
Action : Cash jammed on Staker;",Dispenser
260523/38,AMKATM24,DN 100D,KPSKPS-A001,ATM,5/26/2023 9:13,Camera Issue,5/26/2023 9:53,No,Camera portrait error,"User : Srey Khuoch Date  : May 26 2023 12:01PM
Action :  ;

User : Sokheng Date  : May 26 2023  9:54AM
Action : Printed counter and checked all devices found portrait camera not connected,power off ATM and try to tested unplug USB from camera but still error,replace new portrait camera,power on machine tested many transaction and checked portrait camera is captured as normal,now ATM is working as normal;

User : Sokheng Date  : May 26 2023  9:52AM
Action : Camera portrait error (Kong pisei);

User : Deam1 Date  : May 26 2023  9:49AM
Action : assign ;

User : Srey Khuoch Date  : May 26 2023  9:15AM
Action : Camera portrait error;",Camera
290523/39,AMKDC02,DC365,PPT Prey Key,DC365,5/29/2023 9:58,Cash stack,5/29/2023 10:25,Yes,Cash stuck and error,"User : Srey Khuoch Date  : May 29 2023 10:55AM
Action :  ;

User : Sopheaparinha Date  : May 29 2023 10:27AM
Action : clean dust and calibration sensor;

User : Sopheaparinha Date  : May 29 2023 10:03AM
Action : accept;

User : BTI_Botin Date  : May 29 2023 10:02AM
Action : assign;

User : Srey Khuoch Date  : May 29 2023 10:00AM
Action : Cash stuck and error;",Dispenser
290523/40,AMKATM57,DN 200V,PNPPSM-C001,CRM,5/29/2023 15:08,Show Black Screen,5/29/2023 15:30,Yes,error not available boot,"User : Srey Khuoch Date  : May 29 2023  4:54PM
Action :   ;

User : Sokheng Date  : May 29 2023  3:32PM
Action : shutdown machine and try to reconnect all sata and clean hard disk, power on machine and test all devices are OK, Bank test many transaction successfully.;

User : Sokheng Date  : May 29 2023  3:25PM
Action : Error Not available boot(60m);

User : Chean Sovanarath Date  : May 29 2023  3:15PM
Action : error not available boot;

User : Srey Khuoch Date  : May 29 2023  3:12PM
Action : error not available boot;",Software
310523/41,AMKATM70,DN 100D,PRHPRH-A001,ATM,5/31/2023 8:38,Card Jammed,5/31/2023 9:50,No,card jam,"User : Srey Khuoch Date  : May 31 2023 11:49AM
Action :   ;

User : Sokheng Date  : May 31 2023 10:49AM
Action : Print counter,and check all devices found card reader error,power off ATM and try to clean unplug USB from card reader but still error, replaced new card reader,power on ATM and tested devices are ok,bank do many transaction successfully,now ATM is working as normally;

User : Sokheng Date  : May 31 2023  9:43AM
Action : Card jam(PHV);

User : Chean Sovanarath Date  : May 31 2023  8:45AM
Action : card jam ;

User : Srey Khuoch Date  : May 31 2023  8:40AM
Action : card jam ;",Card reader
050623/9,AMKATM10,DN 100D,PNPCCV-A001,ATM,6/5/2023 10:02,Cash Rejected and Torn,6/5/2023 14:33,No,torn notes 50K,"User : Srey Khuoch Date  : Jun  5 2023  4:34PM
Action :  ;

User : Channa Date  : Jun  5 2023  2:49PM
Action : check torn note 50k;

User : Channa Date  : Jun  5 2023  2:29PM
Action : check torn note 50k;

User : Chean Sovanarath Date  : Jun  5 2023  2:27PM
Action : torn notes 50K ;

User : Srey Khuoch Date  : Jun  5 2023 10:05AM
Action : torn notes 50K ;",Dispenser
080623/26,AMKATM26,DN 100D,ASNTAN2-A001,ATM,6/8/2023 8:55,Error Cassette,6/8/2023 12:07,No,Issue cassette 10k pick up fail,"User : Srey Khuoch Date  : Jun  8 2023  2:11PM
Action :  ;

User : Bunseang Date  : Jun  8 2023 12:12PM
Action : shutdown and removed feed wheel take stripper wheel  replace new feed wheel and take away x1 adjust stacker finger 4 to 3 power on machine and test devices is ok  customer load cash and tested transactions;

User : Bunseang Date  : Jun  8 2023 11:34AM
Action : check cassette 10k pick up fail;

User : Nao Bunseang Date  : Jun  8 2023  9:03AM
Action : Check cassette 10K pick up fail;

User : Srey Khuoch Date  : Jun  8 2023  8:58AM
Action : Issue cassette 10k pick up fail;",Dispenser
090623/30,AMKATM91,DN 200V,ANSVSR-C001,CRM,6/9/2023 10:01,Connection Error,6/9/2023 15:11,Yes,CRM error RM4 board not connect,"User : Srey Khuoch Date  : Jun  9 2023  4:02PM
Action :  ;

User : Sopheap Date  : Jun  9 2023  3:39PM
Action : check device tsop found controller board not connected , shutdown and checked controller board and unplug and plugging the USB, turn CRM checked device in tsop and the controller still not connected shutdown CRM and install a new Controller board to the right position, turn on crm and check device do secure communication and load firmware found the controller board working fine, Bank load cash and tested transactions completed, now CRM back working.;

User : Sopheap Date  : Jun  9 2023  3:00PM
Action : CRM error RM4 board not connect;

User : Than Rothana Date  : Jun  9 2023 10:08AM
Action : CRM error RM4 board not connect ;

User : Srey Khuoch Date  : Jun  9 2023 10:03AM
Action : CRM error RM4 board not connect;",Other
130623/39,AMKDC06,DC365,PTT Siem Reap,DC365,6/13/2023 15:56,Error Sensor,6/14/2023 15:40,No,CDM not count money,"User : Srey Khuoch Date  : Jun 14 2023  4:43PM
Action :  ;

User : Sopheaparinha Date  : Jun 14 2023  4:10PM
Action : Replace Hopper sensor,check all device and perform testing;

User : Sopheaparinha Date  : Jun 14 2023  2:15PM
Action : Accept;

User : BTI_Botin Date  : Jun 13 2023  4:00PM
Action : assign;

User : Srey Khuoch Date  : Jun 13 2023  3:59PM
Action : CDM not count money;",Other
140623/40,ATM-share 01,DN 100D,A-Z Market at BKK,ATM,6/14/2023 8:32,LCD screen issue,6/14/2023 10:36,No,Error Touch screen (not connect),"User : Srey Khuoch Date  : Jun 14 2023  2:09PM
Action :  ;

User : Sothira Date  : Jun 14 2023 10:42AM
Action : Purpose: To check ATM receipt error and Touch Screen error. Action, check ATM and print counter. Shut down and removed paper out (Paper Jam). Replaced new Touch Screen Board. Power on ATM and Checked device status are ok. Bank tested transaction is completed. Result: Now ATM is working as normal. Thanks;

User : Sothira Date  : Jun 14 2023 10:34AM
Action : Fix Issue;

User : Than Rothana Date  : Jun 14 2023  9:03AM
Action : Error Touch screen (Not connect);

User : Srey Khuoch Date  : Jun 14 2023  8:36AM
Action : Error Touch screen (not connect);",Other
150623/48,BKCRM001,DN 200V,BKCRM001,CRM,6/15/2023 15:07,Camera Error,6/15/2023 17:37,No,Cash slot camera error,"User : Srey Khuoch Date  : Jun 16 2023  8:39AM
Action :   ;

User : Sovatdy Date  : Jun 15 2023  5:42PM
Action : To check camera error at Boko branch. Check both camera of CRM has block by security of bank. Ask them to unblock on camera and test confirm devices. OK. Now CRM is working normal.;

User : Sovatdy Date  : Jun 15 2023  4:07PM
Action : Cash slot camera error;

User : Sopheak Sovatdy Date  : Jun 15 2023  4:05PM
Action : Cash Slot camera error;

User : Srey Khuoch Date  : Jun 15 2023  3:12PM
Action : Cash slot camera error;",Camera
160623/49,AMKATM91,DN 200V,ANSVSR-C001,CRM,6/16/2023 8:29,Error Cassette,6/16/2023 11:10,No,error cassette 5,"User : Srey Khuoch Date  : Jun 16 2023  3:34PM
Action :   ;

User : Sopheap Date  : Jun 16 2023 11:45AM
Action : to check crm error cassette slot 5 check and test device found cassette slot 5 working not stable check cable connect from cassette to mainboard are ok try to reboot machine many time seen crm cassette slot 5 still not stable changed new board sn 59n6798196 old board sn 59n6798377 successfully Power on crm check and tested device are OK  branch load cash and perform transaction Successfully and please help keep monitoring after changed new board;

User : Sopheap Date  : Jun 16 2023 11:10AM
Action : To check CRM error cassette all In at Vengsreng;

User : Chean Sovanarath Date  : Jun 16 2023 11:07AM
Action : error cassette 5;

User : Chean Sovanarath Date  : Jun 16 2023 10:47AM
Action : error cassette 5;

User : Srey Khuoch Date  : Jun 16 2023  8:37AM
Action : error cassette 5;

",Dispenser
200623/60,AMKATM60,DN 100D,ASNCPV-A001,ATM,6/20/2023 9:07,Receipt jam,6/20/2023 10:19,No,error receipt printer,"User : Srey Khuoch Date  : Jun 20 2023  4:57PM
Action :  ;

User : Sounin Date  : Jun 20 2023 10:20AM
Action : checked device and print counter show receipt error reset and test function shutdown ATM remove out and cleaned returned back to the right position open ATM and test print working back;

User : Sounin Date  : Jun 20 2023 10:09AM
Action : check receipt error;

User : Than Rothana Date  : Jun 20 2023  9:25AM
Action : receipt printer error ;

User : Srey Khuoch Date  : Jun 20 2023  9:11AM
Action : error receipt printer;

",Recipt printer
220623/68,SHVCRM01,DN 200V,SHVCRM01,CRM,6/22/2023 9:10,Error Cassette,6/22/2023 11:08,No,Messy notes in cassette deposit,"User : Srey Khuoch Date  : Jun 22 2023  2:05PM
Action :   ;

User : Sovatdy Date  : Jun 22 2023 11:14AM
Action : To check CRM got messy notes in Deposit cassette at SHVCRM01. Open operation door and adjusted tray of IO module and Collector module. Check on cassette of Deposit.ok. Bank load cash and tested Deposit transaction with 100K notes.  Okay. Now CRM is working normal.;

User : Sovatdy Date  : Jun 22 2023  9:19AM
Action : CRM got messy notes in Deposit cassette. (SHVCRM01);

User : Nao Bunseang Date  : Jun 22 2023  9:17AM
Action : messy notes in cassette deposit ;

User : Srey Khuoch Date  : Jun 22 2023  9:12AM
Action : Messy notes in cassette deposit;

",Dispenser
220623/71,AMKATM50,DN 100D,PNPBKT-A001,ATM,6/22/2023 15:27,Camera Error,6/22/2023 16:08,No,Camera blur,"User : Srey Khuoch Date  : Jun 22 2023  4:39PM
Action :  ;

User : Jack Date  : Jun 22 2023  4:17PM
Action : _To check ATM camera blur. Checked see blur. Cleaned camera and port camera still blur. Shutdown ATM and removed old camera out and replaced new camera. Power on ATM and cleared mapping to right position. Bank tested transaction and camera cash slot capture as normal.;

User : Jack Date  : Jun 22 2023  3:55PM
Action : check ATM error camera;

User : Touch Jack Date  : Jun 22 2023  3:52PM
Action : check ATM error camera;

User : Srey Khuoch Date  : Jun 22 2023  3:29PM
Action : Camera blur;

",Camera
260623/80,AMKATM56,DN 100D,PNPPSC-A001,ATM,6/26/2023 8:39,Error Cassette,6/26/2023 11:06,No,error missing reject box,"User : Srey Khuoch Date  : Jun 26 2023  2:26PM
Action :   ;

User : Jack Date  : Jun 26 2023 11:06AM
Action : Purpose: To checked ATM error Reject Box at Phsar Chas Branch. Action: Checked devices and print counter. Power off ATM and removed out Presenter. Soldering sensor Reject Box and checked cassette slot 4 change one takeaway wheel for slot 4. Installed back devices into the right position. Power on ATM and checked devices status are OK. Bank loaded cash and test transaction is completed. Result: Now ATM is working as normal.;

User : Jack Date  : Jun 26 2023 10:11AM
Action : Fix Issue;

User : Nao Bunseang Date  : Jun 26 2023  9:57AM
Action : Error missing reject box;

User : Srey Khuoch Date  : Jun 26 2023  8:44AM
Action : error missing reject box;",Dispenser
280623/89,AMKATM28,DN 100D,PNPPDK-A001,ATM,6/28/2023 15:45,Error special eclectic,6/28/2023 16:23,Yes,error special eclectic not connect,"User : Srey Khuoch Date  : Jun 28 2023  4:53PM
Action :  ;

User : Chim Valid Date  : Jun 28 2023  4:34PM
Action : Purpose To checked ATM error special electronic at Phsar Depo Branch. Action  Checked and tested device s seen special electronic not sync to PC. Power off ATM and removed out FIL. Changed new FIL SN 59N0013443 and SN Old 59N0012900. Power on ATM and tested devices are OK. Bank tested transaction is completed. Now ATM is working as normal.;

User : Chim Valid Date  : Jun 28 2023  4:21PM
Action : Check ATM error special electronic;

User : Sopheak Sovatdy Date  : Jun 28 2023  4:19PM
Action : error special eclectic not connect;

User : Sopheak Sovatdy Date  : Jun 28 2023  4:00PM
Action : Error Special Electronic not connect ;

User : Srey Khuoch Date  : Jun 28 2023  3:57PM
Action :  ;

User : Srey Khuoch Date  : Jun 28 2023  3:47PM
Action : error special eclectic not connect;",Other
030723/1,AMKATM56,DN 100D,PNPPSC-A001,ATM,7/3/2023 10:17,Cash Jam,7/3/2023 11:27,No,error Cash jam on reject Box,"User : Srey Khuoch Date  : Jul  4 2023  8:50AM
Action :   ;

User : Vannak Date  : Jul  3 2023 11:33AM
Action : Purpose to checked ATM cash jam on reject box. Action checked devices and print counter. Power off ATM and checked on slot reject box and reject box. Removed out Retract Partition on reject box. Changed one stripper wheel on slot 1. Installed back devices into the right position. Power on ATM and checked devices are OK. Bank load cash and test cash two time and tested transaction is completed. Now ATM is working as normal. Thanks;

User : Vannak Date  : Jul  3 2023 11:05AM
Action : Cash jam on reject box at Phsar Chas Branch;

User : Than Rothana Date  : Jul  3 2023 10:24AM
Action : error cash jam on reject box;

User : Srey Khuoch Date  : Jul  3 2023 10:20AM
Action : error Cash jam on reject Box;",Dispenser
050723/10,AMKATM91,DN 200V,ANSVSR-C001,CRM,7/5/2023 10:54,Error dispenser,7/5/2023 11:50,Yes,error dispenser,"User : Srey Khuoch Date  : Jul  5 2023 10:10PM
Action :  ;

User : Chim Valid Date  : Jul  5 2023 12:02PM
Action : To checked CRM error dispenser at Veng Sreng Branch. Checked device and print counter. Try to log on cassette still unknown. Removed out cassette and checked all cassettes are OK. Returned back cassette into dispenser but still not working. Process Bank to load new cash and then when process load new cash CRM is working as normal. Bank load cash and tested transactions is completed. Now CRM is working as normal.;

User : Chim Valid Date  : Jul  5 2023 11:37AM
Action : To checked CRM error dispenser;

User : Touch Jack Date  : Jul  5 2023 11:34AM
Action : Error dispenser;

User : Touch Jack Date  : Jul  5 2023 11:11AM
Action : Error dispenser ;

User : Srey Khuoch Date  : Jul  5 2023 10:58AM
Action : error dispenser;",Dispenser
110723/13,AMKATM91,DN 200V,ANSVSR-C001,CRM,7/11/2023 9:00,Receipt jam,7/11/2023 11:50,No,Error receipt printer,"User : Seth Date  : Aug  1 2023  9:23AM
Action : To check receipt printer error

-Checked on receipt printer header and adjust it to the position.

_Checked on receipt printer and tested many times seen ok.

_Branch load cash and perform transaction seen receipt print out normal.

_Now CRM is working as normal.;

User : Seth Date  : Aug  1 2023  9:22AM
Action : To check receipt printer error

-Checked on receipt printer header and adjust it to the position.

_Checked on receipt printer and tested many times seen ok.

_Branch load cash and perform transaction seen receipt print out normal.

_Now CRM is working as normal.;

User : Deam1 Date  : Jul 11 2023  9:52AM
Action : assign;

User : Seth Date  : Jul 11 2023  9:08AM
Action : Error receipt printer;",Recipt printer
110723/14,AMKATM53,DN 100D,ASNTAN1-A001,ATM,7/11/2023 9:51,Cash Jam,7/11/2023 14:01,Yes,Error cash jam on exit sensor,"User : Seth Date  : Jul 31 2023  4:39PM
Action : -Remove money out

-check timing belt, feed wheel, striper wheel, take away and check size cassette

- check notes inside cassette

- replace feed wheel on slot 4 (50K)

- after load cash test many transactions is ok;

User : Bunseang Date  : Jul 11 2023 12:17PM
Action : ATM error cash jam on exit sensor;

User : Deam1 Date  : Jul 11 2023 10:01AM
Action : assign engineer;

User : Seth Date  : Jul 11 2023  9:55AM
Action : Cash jam on exit sensor;",Dispenser
140723/20,TKATM001,DN 100D,TKATM001,ATM,7/14/2023 8:36,Error Cassette,7/14/2023 9:57,No,Reject box Error,"User : Srey Khuoch Date  : Jul 14 2023  4:52PM
Action :   ;

User : Sothira Date  : Jul 14 2023  9:57AM
Action : Wing TK;

User : Sothira Date  : Jul 14 2023  9:55AM
Action : Reject box error;

User : Sopheak Sovatdy Date  : Jul 14 2023  8:44AM
Action : Reject box error;

User : Srey Khuoch Date  : Jul 14 2023  8:41AM
Action : Reject box Error;",Dispenser
170723/21,AMKATM71,DN 100D,SRPNMK-A001,ATM,7/17/2023 13:47,PC Error,7/17/2023 16:00,Yes,error device disconnect,"User : Srey Khuoch Date  : Jul 18 2023  8:26AM
Action :   ;

User : Vannak Date  : Jul 17 2023  5:18PM
Action : Go to fix ATM at SiemReap Night market print counter check devices ok power off ATM check power supply and FIL hardware of power supply it working not smooth replaced new power supply power on ATM check and test devices ok bank tested transaction successfully Note: temperature in side ATM like 40c Booth required fan to reduce the temperature from ATM SN54BL400038 Old SN54B0422501 New;

User : Vannak Date  : Jul 17 2023  3:51PM
Action : Error devices disconnect;

User : Than Rothana Date  : Jul 17 2023  1:59PM
Action : Device disconnect;

User : Srey Khuoch Date  : Jul 17 2023  1:52PM
Action : error device disconnect;",Other
